,sgd_lr,sgdhd_lr,sgdn_lr,sgdnhd_lr,adam_lr,adamhd_lr
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.0001,0.7002739906311035,0.0001,,0.0001,1.4348952770233154
2,0.0001,0.6916771531105042,0.0001,,0.0001,1.4346210956573486
3,0.0001,0.6880011558532715,0.0001,,0.0001,1.434457540512085
4,0.0001,0.6849398612976074,0.0001,,0.0001,1.4343217611312866
5,0.0001,0.6826390624046326,0.0001,,0.0001,1.4341740608215332
6,0.0001,0.6803028583526611,0.0001,,0.0001,1.433906078338623
7,0.0001,0.6779831051826477,0.0001,,0.0001,1.4337812662124634
8,0.0001,0.675830066204071,0.0001,,0.0001,1.4336631298065186
9,0.0001,0.673886775970459,0.0001,,0.0001,1.4335463047027588
10,0.0001,0.6720722317695618,0.0001,,0.0001,1.4334248304367065
11,0.0001,0.6703823804855347,0.0001,,0.0001,1.433289885520935
12,0.0001,0.6686885356903076,0.0001,,0.0001,1.4331636428833008
13,0.0001,0.6669057607650757,0.0001,,0.0001,1.4330363273620605
14,0.0001,0.6650279760360718,0.0001,,0.0001,1.4329094886779785
15,0.0001,0.6632911562919617,0.0001,,0.0001,1.432800054550171
16,0.0001,0.6601446866989136,0.0001,,0.0001,1.4326766729354858
17,0.0001,0.6578080058097839,0.0001,,0.0001,1.432550311088562
18,0.0001,0.6559445261955261,0.0001,,0.0001,1.4324244260787964
19,0.0001,0.6540560722351074,0.0001,,0.0001,1.4322915077209473
20,0.0001,0.6523748636245728,0.0001,,0.0001,1.4321660995483398
21,0.0001,0.6508215069770813,0.0001,,0.0001,1.4320462942123413
22,0.0001,0.6494136452674866,0.0001,,0.0001,1.2394109964370728
23,0.0001,0.6478273868560791,0.0001,,0.0001,1.2393214702606201
24,0.0001,0.646324634552002,0.0001,,0.0001,1.2392432689666748
25,0.0001,0.6450940370559692,0.0001,,0.0001,1.2391248941421509
26,0.0001,0.6437995433807373,0.0001,,0.0001,1.1978760957717896
27,0.0001,0.6422662138938904,0.0001,,0.0001,1.1977779865264893
28,0.0001,0.6409988403320312,0.0001,,0.0001,1.197664499282837
29,0.0001,0.6396703720092773,0.0001,,0.0001,1.1975586414337158
30,0.0001,0.6384060978889465,0.0001,,0.0001,1.197451114654541
31,0.0001,0.6370283365249634,0.0001,,0.0001,1.1973589658737183
32,0.0001,0.63572758436203,0.0001,,0.0001,1.1972547769546509
33,0.0001,0.6344391107559204,0.0001,,0.0001,1.1971439123153687
34,0.0001,0.6330154538154602,0.0001,,0.0001,1.1970434188842773
35,0.0001,0.6300399899482727,0.0001,,0.0001,1.1969475746154785
36,0.0001,0.6279076933860779,0.0001,,0.0001,1.1482864618301392
37,0.0001,0.6262322664260864,0.0001,,0.0001,1.1422792673110962
