,sgd_train_loss,sgdhd_train_loss,sgdn_train_loss,sgdnhd_train_loss,adam_train_loss,adamhd_train_loss
0,2852.67333984375,2837.264404296875,2828.306640625,2870.449951171875,2824.8447265625,2874.321533203125
1,6.6374636,4.8241625,6.2694745,nan,4.746624,4.6427717
2,6.106503,4.3948736,5.5401487,nan,4.7943735,4.6654406
3,5.830222,4.2803383,5.2858763,nan,4.83083,4.7517176
4,5.6741285,4.188965,5.0826216,nan,4.7313924,4.7714677
5,5.2433968,4.056918,4.9798965,nan,4.7024884,4.7706847
6,5.069815,4.028533,5.020083,nan,4.7562437,4.657813
7,5.1192484,4.087029,4.9158955,nan,4.7680655,4.7260094
8,5.172505,3.9252172,4.7627573,nan,4.6022425,4.713734
9,5.025157,3.940227,4.825013,nan,4.7298517,4.6520896
10,5.0453014,3.9089875,4.7372518,nan,4.5306754,4.671041
11,4.966339,3.7243412,4.735961,nan,4.6824546,4.7480407
12,4.901761,3.6063874,4.7828064,nan,4.5689764,4.6733537
13,4.8664074,3.64637,4.767297,nan,4.6720147,4.637126
14,4.9313517,3.8890998,4.763226,nan,4.7847342,4.7355356
15,4.8653193,3.7658043,4.713773,nan,4.57427,4.7435427
16,4.808143,4.172494,4.7191267,nan,4.634362,4.756326
17,4.9575505,4.4270315,4.6790404,nan,4.734319,4.7692657
18,4.817321,4.161201,4.7443743,nan,4.5690856,4.762815
19,4.760974,3.8395011,4.7238154,nan,4.6462965,4.682828
20,4.818004,3.8229775,4.6473265,nan,4.639932,4.69855
21,4.8290854,3.641084,4.525675,nan,4.511462,4.638005
22,4.782419,3.6244931,4.6594005,nan,4.7290096,4.74313
23,4.7748504,3.7372582,4.69682,nan,4.6331143,4.6622667
24,4.797461,3.928021,4.7946525,nan,4.722003,4.685701
25,4.941644,3.830646,4.7758765,nan,4.5503497,4.6948957
26,4.665543,3.851694,4.6408873,nan,4.626788,4.750735
27,4.833554,3.6485953,4.6262574,nan,4.6907434,4.6367464
28,4.777847,3.9574857,4.6844482,nan,4.5670686,4.588805
29,4.806704,3.8984413,4.5706763,nan,4.5911083,4.6878467
30,4.795726,3.645752,4.742669,nan,4.6501036,4.6995134
31,4.7126822,3.835595,4.689322,nan,4.721445,4.6339517
32,4.5766463,3.6428573,4.549686,nan,4.605701,4.697032
33,4.625315,3.3982518,4.6361003,nan,4.769506,4.781888
34,4.739411,4.3093348,4.5477676,nan,4.548102,4.695198
35,4.69395,3.535422,4.5993915,nan,4.6320467,4.664303
36,4.702971,3.756783,4.5728,nan,4.7545347,4.665065
37,4.7420897,4.1661277,4.698866,nan,4.769395,4.654746
38,4.73782,3.7361991,4.7274885,nan,4.631944,4.673197
39,4.7255335,3.8000321,4.669763,nan,4.6241302,4.74256
40,4.625695,3.3230376,4.499448,nan,4.542061,4.751462
41,4.7658587,3.3262546,4.5468473,nan,4.6507845,4.68074
42,4.749648,3.5005345,4.471017,nan,4.6856008,4.651359
43,4.876006,3.4893208,4.481641,nan,4.6615777,4.661208
44,4.7874417,3.538189,4.54221,nan,4.6472087,4.7304125
45,4.7302895,4.238281,4.4969893,nan,4.531636,4.656102
46,4.6470957,3.9499047,4.4925942,nan,4.6032605,4.6609535
47,4.7249775,3.537555,4.614873,nan,4.727172,4.74024
48,4.682341,3.5020454,4.496093,nan,4.6818113,4.666861
49,4.5174,4.012907,4.500293,nan,4.6529627,4.6864843
50,4.850337,3.384446,4.5750685,nan,4.477851,4.666823
51,4.7165246,3.608902,4.4985876,nan,4.63835,4.6284056
52,4.771923,3.37146,4.518314,nan,4.666113,4.6745825
53,4.7507343,3.6349545,4.627882,nan,4.6251125,4.7089443
54,4.9133162,3.4595103,4.5553694,nan,4.6316423,4.7366076
55,4.7196174,3.3207123,4.415602,nan,4.715845,4.6381435
56,4.675805,3.3434608,4.332928,nan,4.5743814,4.6489234
57,4.6276054,3.0399137,4.472213,nan,4.567955,4.664832
58,4.671878,3.4685369,4.4249783,nan,4.820811,4.7000594
59,4.441126,3.6226609,4.4904413,nan,4.516352,4.6619077
60,4.65734,2.9089005,4.4181695,nan,4.6473246,4.66618
61,4.6492276,3.0899851,4.4851027,nan,4.6270533,4.6534486
62,4.49832,3.5546021,4.427685,nan,4.7399497,4.7269316
63,4.5201654,3.2451198,4.5206404,nan,4.4702992,4.7270727
64,4.711196,3.3740127,4.5167823,nan,4.6380005,4.6812477
65,4.5983543,3.0961032,4.3741193,nan,4.5624323,4.732888
66,4.6613503,2.8716168,4.2155333,nan,4.5867896,4.6453876
67,4.6119113,3.4486718,4.3793654,nan,4.5846066,4.645267
68,4.717622,3.3082988,4.402974,nan,4.5607653,4.602132
69,4.6737924,2.9321885,4.204913,nan,4.6132627,4.726281
70,4.663069,3.1733403,4.3655562,nan,4.554475,4.710082
71,4.7851267,3.3475258,4.267663,nan,4.5900755,4.7343645
72,4.5846577,3.2803848,4.241575,nan,4.57412,4.6484833
73,4.5960093,3.1516364,4.5039206,nan,4.7125993,4.6248655
74,4.6831136,3.2150016,4.3789907,nan,4.598165,4.630355
75,4.747779,3.2602398,4.3491106,nan,4.6509023,4.619156
76,4.7889795,3.349522,4.3485837,nan,4.6115837,4.69689
77,4.584763,3.3046525,4.487475,nan,4.615477,4.7035384
78,4.631935,3.2142823,4.3014627,nan,4.659878,4.7107997
79,4.841037,3.007169,4.31351,nan,4.6406226,4.6048136
80,4.6147165,3.3027587,4.3274217,nan,4.597171,4.6557817
81,4.6992693,2.9811177,4.3316407,nan,4.5967927,4.687635
82,4.616285,3.007378,4.1134424,nan,4.597113,4.6808867
83,4.7216263,3.2024682,4.1562195,nan,4.5287323,4.6861377
84,4.634263,3.040296,4.33121,nan,4.679017,4.6249394
85,4.6455903,3.1921735,4.142438,nan,4.5843973,4.6250954
86,4.557107,2.8701196,4.18909,nan,4.558912,4.6728354
87,4.6783977,3.056798,4.269376,nan,4.6216345,4.671363
88,4.598775,2.8963912,4.2679796,nan,4.592675,4.6556854
89,4.5373216,3.0901926,4.390027,nan,4.44508,4.676381
90,4.695961,2.7078776,4.312906,nan,4.580581,4.694732
91,4.6132746,2.9607608,4.270558,nan,4.6056366,4.7088475
92,4.6242795,3.0494404,4.1671705,nan,4.6508613,4.670048
93,4.758655,2.5930653,4.3601623,nan,4.588129,4.636131
94,4.601512,2.8721402,4.317595,nan,4.4932523,4.7345543
95,4.5489335,2.7135215,4.328983,nan,4.52456,4.7201447
96,4.6781497,3.0173059,4.178918,nan,4.556325,4.714025
97,4.5264482,2.8386416,4.254609,nan,4.603445,4.58801
98,4.466656,3.0102825,4.3552885,nan,4.6161766,4.6292634
99,4.5487404,2.8658175,4.3082685,nan,4.4940696,4.6653175
100,4.5717316,2.8991704,4.047034,nan,4.586403,4.658443
