,sgd_test_loss,sgdn_test_loss,adamhd_test_loss
0,1227.3978271484375,1038.57177734375,1268.693603515625
1,1059.097900390625,822.2927856445312,1200.0186767578125
2,931.64794921875,692.358154296875,1150.613037109375
3,834.3870239257812,607.97216796875,1110.974365234375
4,759.0671997070312,549.3973388671875,1077.560791015625
5,699.6681518554688,506.3538818359375,1048.5068359375
6,651.9342041015625,473.4101867675781,1022.7896728515625
7,612.8457641601562,447.2146301269531,999.6771850585938
8,580.25634765625,425.94195556640625,978.6611938476562
9,552.7636108398438,408.23760986328125,959.3848876953125
10,529.2509155273438,393.3157653808594,941.580810546875
11,508.859619140625,380.4370422363281,925.1019897460938
12,491.038330078125,369.22039794921875,909.724609375
13,475.31768798828125,359.3707275390625,895.3325805664062
14,461.34100341796875,350.6656188964844,881.79345703125
15,448.8098449707031,342.8819885253906,869.0
16,437.5035400390625,335.86541748046875,856.9320068359375
17,427.2521057128906,329.4837646484375,845.4952392578125
18,417.9134826660156,323.68145751953125,834.6138305664062
19,409.3653259277344,318.3630676269531,824.2552490234375
20,401.491455078125,313.5093994140625,814.3899536132812
21,394.2401428222656,308.9879455566406,804.9629516601562
22,387.5352783203125,304.79571533203125,795.9505004882812
23,381.2765197753906,300.89599609375,787.3025512695312
24,375.4298400878906,297.2442626953125,779.0122680664062
25,369.9842834472656,293.84930419921875,771.0623779296875
26,364.8800964355469,290.6571044921875,763.4093627929688
27,360.0859680175781,287.6785583496094,756.044921875
28,355.5588684082031,284.8712158203125,748.9508056640625
29,351.2982482910156,282.1847229003906,742.1166381835938
30,347.2685852050781,279.6604919433594,735.509033203125
31,343.4435119628906,277.27362060546875,729.1256103515625
32,339.82177734375,275.0145568847656,722.9485473632812
33,336.38543701171875,272.8350524902344,716.9793701171875
34,333.1045837402344,270.7731628417969,711.1958618164062
35,329.97015380859375,268.8197021484375,705.580810546875
36,327.0029602050781,266.9292297363281,700.145751953125
37,324.1446228027344,265.1596984863281,694.8698120117188
38,321.41656494140625,263.4132080078125,689.7528686523438
39,318.8079528808594,261.7646484375,684.7737426757812
40,316.3117980957031,260.1722106933594,679.9334716796875
41,313.90771484375,258.6651916503906,675.224365234375
42,311.5894470214844,257.1968994140625,670.643798828125
43,309.3681640625,255.78924560546875,666.1813354492188
44,307.233642578125,254.43223571777344,661.8466796875
45,305.160888671875,253.1221466064453,657.6119995117188
46,303.17840576171875,251.83937072753906,653.486328125
47,301.2654113769531,250.62124633789062,649.4534912109375
48,299.408935546875,249.4405517578125,645.5258178710938
49,297.6160888671875,248.28460693359375,641.6900024414062
50,295.8790588378906,247.19290161132812,637.9468383789062
51,294.20501708984375,246.12489318847656,634.2867431640625
52,292.58172607421875,245.1050262451172,630.7119140625
53,291.00244140625,244.1007843017578,627.2274780273438
54,289.47674560546875,243.10374450683594,623.8135375976562
55,288.00091552734375,242.1515655517578,620.4684448242188
56,286.56317138671875,241.21929931640625,617.201171875
57,285.1658020019531,240.3194122314453,613.99853515625
58,283.81121826171875,239.4613037109375,610.86669921875
59,282.49468994140625,238.60658264160156,607.79736328125
60,281.211669921875,237.78118896484375,604.790283203125
61,279.955322265625,237.0074462890625,601.8471069335938
62,278.73760986328125,236.2183380126953,598.9661254882812
63,277.5563659667969,235.43429565429688,596.1346435546875
64,276.394287109375,234.70306396484375,593.3602294921875
65,275.2682800292969,233.97898864746094,590.643310546875
66,274.1694641113281,233.26507568359375,587.9677734375
67,273.09869384765625,232.5758056640625,585.3521118164062
68,272.0523986816406,231.89256286621094,582.7830200195312
69,271.0295715332031,231.23477172851562,580.2577514648438
70,270.0317687988281,230.57130432128906,577.7769165039062
71,269.0581970214844,229.93576049804688,575.3421630859375
72,268.1039123535156,229.32252502441406,572.9511108398438
73,267.1751403808594,228.7222442626953,570.5936279296875
74,266.2662353515625,228.13409423828125,568.2836303710938
75,265.375244140625,227.5721435546875,566.0091552734375
76,264.50286865234375,227.00732421875,563.7794189453125
77,263.6539611816406,226.4656982421875,561.5820922851562
78,262.8128356933594,225.90582275390625,559.4174194335938
79,261.98968505859375,225.3736572265625,557.2915649414062
80,261.1923828125,224.8612060546875,555.1986083984375
81,260.4045715332031,224.3363494873047,553.14501953125
82,259.6354675292969,223.8286590576172,551.1216430664062
83,258.87640380859375,223.34732055664062,549.1273193359375
84,258.13665771484375,222.8714599609375,547.1607666015625
85,257.40008544921875,222.38259887695312,545.2275390625
86,256.68988037109375,221.92929077148438,543.32763671875
87,255.99652099609375,221.4883575439453,541.4525756835938
88,255.3076934814453,221.02943420410156,539.6002807617188
89,254.63084411621094,220.58900451660156,537.7789306640625
90,253.96939086914062,220.1613311767578,535.9813232421875
91,253.32188415527344,219.72775268554688,534.2098388671875
92,252.67977905273438,219.31259155273438,532.4683837890625
93,252.0533905029297,218.89114379882812,530.752197265625
94,251.4343719482422,218.48284912109375,529.0584716796875
95,250.82814025878906,218.10525512695312,527.3818969726562
96,250.2322540283203,217.7032012939453,525.7346801757812
97,249.6409912109375,217.3308563232422,524.112548828125
98,249.06072998046875,216.93797302246094,522.5138549804688
99,248.49290466308594,216.55758666992188,520.9315185546875
