,train_loss,test_loss,test_acc,epoch,lr
0,1079.3125,181.79000854492188,13.139999389648438,0,0.0001
1,1.720503,134.67822265625,77.08999633789062,0,0.0001
2,1.2936015,102.28402709960938,80.88999938964844,1,0.0001
3,1.0755516,83.23941040039062,82.63999938964844,2,0.0001
4,0.8925531,71.35750579833984,83.68999481201172,3,0.0001
5,0.79073,63.33846664428711,84.8499984741211,4,0.0001
6,0.7627639,57.60881805419922,85.6199951171875,5,0.0001
7,0.7668505,53.280006408691406,86.12999725341797,6,0.0001
8,0.711431,49.87942123413086,86.57999420166016,7,0.0001
9,0.67632246,47.160888671875,87.0199966430664,8,0.0001
10,0.5058908,44.91313552856445,87.2699966430664,9,0.0001
11,0.511793,43.022586822509766,87.5999984741211,10,0.0001
12,0.5396239,41.428184509277344,87.75999450683594,11,0.0001
13,0.44082317,40.04548263549805,88.00999450683594,12,0.0001
14,0.47964868,38.856712341308594,88.19999694824219,13,0.0001
15,0.41665712,37.80671310424805,88.50999450683594,14,0.0001
16,0.52776074,36.883262634277344,88.70999908447266,15,0.0001
17,0.47638497,36.05704879760742,88.79999542236328,16,0.0001
18,0.4832176,35.31626892089844,88.95999908447266,17,0.0001
19,0.4929075,34.649513244628906,89.05999755859375,18,0.0001
20,0.46617946,34.04749298095703,89.15999603271484,19,0.0001
21,0.42387748,33.50838088989258,89.2699966430664,20,0.0001
22,0.37407374,33.006622314453125,89.43000030517578,21,0.0001
23,0.4432933,32.548397064208984,89.5199966430664,22,0.0001
24,0.4598407,32.12126159667969,89.65999603271484,23,0.0001
25,0.5669798,31.726503372192383,89.65999603271484,24,0.0001
26,0.52752465,31.356565475463867,89.77999877929688,25,0.0001
27,0.48831978,31.024105072021484,89.80999755859375,26,0.0001
28,0.42692825,30.701274871826172,89.93000030517578,27,0.0001
29,0.33892962,30.403995513916016,89.97999572753906,28,0.0001
30,0.37769997,30.120595932006836,90.02999877929688,29,0.0001
31,0.3622414,29.855642318725586,90.1199951171875,30,0.0001
32,0.24493961,29.602903366088867,90.23999786376953,31,0.0001
33,0.31806442,29.371219635009766,90.29000091552734,32,0.0001
34,0.36824968,29.144367218017578,90.3699951171875,33,0.0001
35,0.43058395,28.933076858520508,90.45999908447266,34,0.0001
36,0.37487862,28.734027862548828,90.50999450683594,35,0.0001
37,0.3307666,28.5479679107666,90.56999969482422,36,0.0001
38,0.33436564,28.360387802124023,90.64999389648438,37,0.0001
39,0.51482797,28.19270133972168,90.65999603271484,38,0.0001
40,0.47732124,28.028644561767578,90.70999908447266,39,0.0001
41,0.3523214,27.86559295654297,90.73999786376953,40,0.0001
42,0.34944937,27.7109432220459,90.7699966430664,41,0.0001
43,0.42613697,27.561519622802734,90.77999877929688,42,0.0001
44,0.3313953,27.42303466796875,90.80999755859375,43,0.0001
45,0.3324197,27.28713607788086,90.8499984741211,44,0.0001
46,0.34568095,27.152786254882812,90.8499984741211,45,0.0001
47,0.2619079,27.031848907470703,90.88999938964844,46,0.0001
48,0.25163326,26.902658462524414,90.90999603271484,47,0.0001
49,0.41782904,26.789358139038086,90.89999389648438,48,0.0001
50,0.31286022,26.67849349975586,90.93000030517578,49,0.0001
51,0.30570748,26.567665100097656,90.97000122070312,50,0.0001
52,0.26160845,26.457130432128906,90.97000122070312,51,0.0001
53,0.2837982,26.355504989624023,91.0199966430664,52,0.0001
54,0.40598932,26.25699806213379,91.05999755859375,53,0.0001
55,0.44238815,26.157312393188477,91.06999969482422,54,0.0001
56,0.31091356,26.06616973876953,91.06999969482422,55,0.0001
57,0.44475994,25.970338821411133,91.12999725341797,56,0.0001
58,0.3306277,25.87586784362793,91.14999389648438,57,0.0001
59,0.3850417,25.791362762451172,91.14999389648438,58,0.0001
60,0.376204,25.71363067626953,91.12999725341797,59,0.0001
61,0.33455133,25.625276565551758,91.18000030517578,60,0.0001
62,0.28875712,25.539058685302734,91.20999908447266,61,0.0001
63,0.35025787,25.467971801757812,91.23999786376953,62,0.0001
64,0.33817968,25.38770866394043,91.22000122070312,63,0.0001
65,0.2549492,25.317935943603516,91.23999786376953,64,0.0001
66,0.36455974,25.243526458740234,91.23999786376953,65,0.0001
67,0.33948162,25.172161102294922,91.22999572753906,66,0.0001
68,0.3496082,25.101280212402344,91.25999450683594,67,0.0001
69,0.4006993,25.034082412719727,91.25999450683594,68,0.0001
70,0.29766938,24.971153259277344,91.23999786376953,69,0.0001
71,0.38754728,24.901845932006836,91.25,70,0.0001
72,0.2698127,24.836645126342773,91.27999877929688,71,0.0001
73,0.25818512,24.77736473083496,91.27999877929688,72,0.0001
74,0.2851791,24.713430404663086,91.27999877929688,73,0.0001
75,0.3130719,24.655990600585938,91.29000091552734,74,0.0001
76,0.23070122,24.594995498657227,91.29999542236328,75,0.0001
77,0.34447873,24.537628173828125,91.32999420166016,76,0.0001
78,0.3395288,24.480756759643555,91.32999420166016,77,0.0001
79,0.30473918,24.424083709716797,91.3499984741211,78,0.0001
80,0.31058323,24.369369506835938,91.3499984741211,79,0.0001
81,0.25656757,24.317550659179688,91.38999938964844,80,0.0001
82,0.25072628,24.266048431396484,91.39999389648438,81,0.0001
83,0.26074833,24.21208381652832,91.41999816894531,82,0.0001
84,0.44930115,24.162555694580078,91.44999694824219,83,0.0001
85,0.31950173,24.111003875732422,91.48999786376953,84,0.0001
86,0.37864244,24.06281852722168,91.47000122070312,85,0.0001
87,0.33584622,24.010963439941406,91.47000122070312,86,0.0001
88,0.2514561,23.96300506591797,91.52999877929688,87,0.0001
89,0.32312217,23.91689109802246,91.50999450683594,88,0.0001
90,0.33776215,23.871135711669922,91.50999450683594,89,0.0001
91,0.37519357,23.82828140258789,91.48999786376953,90,0.0001
92,0.35167396,23.781295776367188,91.5,91,0.0001
93,0.33369645,23.73658561706543,91.5199966430664,92,0.0001
94,0.24161029,23.691823959350586,91.54000091552734,93,0.0001
95,0.22702046,23.65064811706543,91.5199966430664,94,0.0001
96,0.25474322,23.607248306274414,91.52999877929688,95,0.0001
97,0.354717,23.565580368041992,91.54999542236328,96,0.0001
98,0.24719197,23.52928924560547,91.55999755859375,97,0.0001
99,0.4057338,23.487478256225586,91.54000091552734,98,0.0001
100,0.28033492,23.443775177001953,91.54000091552734,99,0.0001
