,sgd_lr,sgdhd_lr,sgdn_lr,sgdnhd_lr,adam_lr,adamhd_lr
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.0001,12.734559059143066,0.0001,,0.0001,0.2887534201145172
2,0.0001,12.73408031463623,0.0001,,0.0001,0.28797245025634766
3,0.0001,12.733567237854004,0.0001,,0.0001,0.287956178188324
4,0.0001,12.733068466186523,0.0001,,0.0001,0.28791624307632446
5,0.0001,12.732576370239258,0.0001,,0.0001,0.2878861427307129
6,0.0001,12.732085227966309,0.0001,,0.0001,0.2878595292568207
7,0.0001,12.731595039367676,0.0001,,0.0001,0.28782182931900024
8,0.0001,12.731067657470703,0.0001,,0.0001,0.28781306743621826
9,0.0001,12.730538368225098,0.0001,,0.0001,0.2877998352050781
10,0.0001,12.730043411254883,0.0001,,0.0001,0.28777191042900085
11,0.0001,12.729554176330566,0.0001,,0.0001,0.287739098072052
12,0.0001,12.72900676727295,0.0001,,0.0001,0.2877184748649597
13,0.0001,12.72848892211914,0.0001,,0.0001,0.28768888115882874
14,0.0001,12.727965354919434,0.0001,,0.0001,0.2876676619052887
15,0.0001,12.727432250976562,0.0001,,0.0001,0.2873340845108032
16,0.0001,12.726943016052246,0.0001,,0.0001,0.2873154878616333
17,0.0001,12.726435661315918,0.0001,,0.0001,0.28728532791137695
18,0.0001,12.725945472717285,0.0001,,0.0001,0.28727611899375916
19,0.0001,12.725448608398438,0.0001,,0.0001,0.2872442901134491
20,0.0001,12.724935531616211,0.0001,,0.0001,0.28722354769706726
21,0.0001,12.724419593811035,0.0001,,0.0001,0.2789149880409241
22,0.0001,12.723905563354492,0.0001,,0.0001,0.2784895896911621
23,0.0001,12.723380088806152,0.0001,,0.0001,0.2783582806587219
24,0.0001,12.722918510437012,0.0001,,0.0001,0.2783249020576477
25,0.0001,12.72241497039795,0.0001,,0.0001,0.27827852964401245
26,0.0001,12.721921920776367,0.0001,,0.0001,0.27826154232025146
27,0.0001,12.721445083618164,0.0001,,0.0001,0.2782282829284668
28,0.0001,12.720959663391113,0.0001,,0.0001,0.2782078683376312
29,0.0001,12.720468521118164,0.0001,,0.0001,0.2781713604927063
30,0.0001,12.719968795776367,0.0001,,0.0001,0.27815723419189453
31,0.0001,12.71943187713623,0.0001,,0.0001,0.27649185061454773
32,0.0001,12.718932151794434,0.0001,,0.0001,0.27498844265937805
33,0.0001,12.718384742736816,0.0001,,0.0001,0.25743919610977173
34,0.0001,12.717900276184082,0.0001,,0.0001,0.25730687379837036
35,0.0001,12.717398643493652,0.0001,,0.0001,0.2572885751724243
36,0.0001,12.716926574707031,0.0001,,0.0001,0.257261723279953
37,0.0001,12.716416358947754,0.0001,,0.0001,0.2572493255138397
38,0.0001,12.715919494628906,0.0001,,0.0001,0.257242351770401
39,0.0001,12.715426445007324,0.0001,,0.0001,0.2572222650051117
40,0.0001,12.714924812316895,0.0001,,0.0001,0.2572060525417328
41,0.0001,12.714441299438477,0.0001,,0.0001,0.25718918442726135
42,0.0001,12.713921546936035,0.0001,,0.0001,0.257168710231781
43,0.0001,12.7134428024292,0.0001,,0.0001,0.2571386694908142
44,0.0001,12.712958335876465,0.0001,,0.0001,0.2571107745170593
45,0.0001,12.712453842163086,0.0001,,0.0001,0.2570684552192688
46,0.0001,12.711946487426758,0.0001,,0.0001,0.25705191493034363
47,0.0001,12.711467742919922,0.0001,,0.0001,0.2570275664329529
48,0.0001,12.710959434509277,0.0001,,0.0001,0.2569912075996399
49,0.0001,12.71048355102539,0.0001,,0.0001,0.2569678723812103
50,0.0001,12.709946632385254,0.0001,,0.0001,0.25694072246551514
51,0.0001,12.709493637084961,0.0001,,0.0001,0.25690481066703796
52,0.0001,12.70899772644043,0.0001,,0.0001,0.2568839490413666
53,0.0001,12.708498001098633,0.0001,,0.0001,0.25686222314834595
54,0.0001,12.708014488220215,0.0001,,0.0001,0.2568245232105255
55,0.0001,12.707535743713379,0.0001,,0.0001,0.2567978501319885
56,0.0001,12.70701789855957,0.0001,,0.0001,0.25677892565727234
57,0.0001,12.706520080566406,0.0001,,0.0001,0.25674620270729065
58,0.0001,12.706016540527344,0.0001,,0.0001,0.2566913366317749
59,0.0001,12.705533981323242,0.0001,,0.0001,0.25667616724967957
60,0.0001,12.705009460449219,0.0001,,0.0001,0.2566407322883606
61,0.0001,12.704547882080078,0.0001,,0.0001,0.25663697719573975
62,0.0001,12.704045295715332,0.0001,,0.0001,0.2566097676753998
63,0.0001,12.703521728515625,0.0001,,0.0001,0.2565856873989105
64,0.0001,12.703043937683105,0.0001,,0.0001,0.2565470337867737
65,0.0001,12.702516555786133,0.0001,,0.0001,0.25651153922080994
66,0.0001,12.702008247375488,0.0001,,0.0001,0.2564904987812042
67,0.0001,12.701499938964844,0.0001,,0.0001,0.2564666271209717
68,0.0001,12.701007843017578,0.0001,,0.0001,0.2564327120780945
69,0.0001,12.700509071350098,0.0001,,0.0001,0.2564196288585663
70,0.0001,12.699958801269531,0.0001,,0.0001,0.2563963830471039
71,0.0001,12.699440956115723,0.0001,,0.0001,0.2563563883304596
72,0.0001,12.698945999145508,0.0001,,0.0001,0.2563166320323944
73,0.0001,12.698429107666016,0.0001,,0.0001,0.25630155205726624
74,0.0001,12.697920799255371,0.0001,,0.0001,0.2562962472438812
75,0.0001,12.697440147399902,0.0001,,0.0001,0.2562597692012787
76,0.0001,12.696946144104004,0.0001,,0.0001,0.2562311887741089
77,0.0001,12.696492195129395,0.0001,,0.0001,0.25620877742767334
