,train_loss,test_loss,test_acc,epoch,lr
0,2955.231689453125,595.8897094726562,0.019999999552965164,0,0.0001
1,2.4431083,196.61981201171875,10.0,0,12.734559059143066
2,2.4147613,192.25982666015625,10.0,1,12.73408031463623
3,2.4028692,190.62664794921875,10.0,2,12.733567237854004
4,2.398039,190.40394592285156,10.0,3,12.733068466186523
5,2.3186467,189.36837768554688,10.0,4,12.732576370239258
6,2.3995266,185.73248291015625,10.0,5,12.732085227966309
7,2.3010287,189.4280242919922,10.0,6,12.731595039367676
8,2.382503,186.76443481445312,10.0,7,12.731067657470703
9,2.6336467,196.6861114501953,10.0,8,12.730538368225098
10,2.3810592,187.01272583007812,10.0,9,12.730043411254883
11,2.3608387,194.5682830810547,10.0,10,12.729554176330566
12,2.33928,183.2445068359375,10.0,11,12.72900676727295
13,2.3179164,188.63534545898438,10.0,12,12.72848892211914
14,2.3797832,186.7137451171875,10.0,13,12.727965354919434
15,2.3135896,187.46817016601562,10.0,14,12.727432250976562
16,2.404717,191.2519073486328,10.0,15,12.726943016052246
17,2.3716848,192.4770050048828,10.0,16,12.726435661315918
18,2.320251,193.53565979003906,10.0,17,12.725945472717285
19,2.3645961,187.9891357421875,10.0,18,12.725448608398438
20,2.3313506,191.08511352539062,10.0,19,12.724935531616211
21,2.3549647,188.22915649414062,10.0,20,12.724419593811035
22,2.445093,192.7935791015625,10.0,21,12.723905563354492
23,2.3716211,190.31739807128906,9.819999694824219,22,12.723380088806152
24,2.3414657,195.07801818847656,10.0,23,12.722918510437012
25,2.3703666,186.56741333007812,10.0,24,12.72241497039795
26,2.3365588,190.7523956298828,10.0,25,12.721921920776367
27,2.3481495,189.035888671875,10.0,26,12.721445083618164
28,2.3023403,187.70138549804688,10.0,27,12.720959663391113
29,2.438148,190.73023986816406,10.0,28,12.720468521118164
30,2.386644,198.5817413330078,10.0,29,12.719968795776367
31,2.433743,191.9329071044922,10.0,30,12.71943187713623
32,2.344155,198.2566680908203,10.0,31,12.718932151794434
33,2.4425015,193.77952575683594,10.0,32,12.718384742736816
34,2.408544,203.77980041503906,10.0,33,12.717900276184082
35,2.3718636,191.28155517578125,10.0,34,12.717398643493652
36,2.3064203,185.65277099609375,10.0,35,12.716926574707031
37,2.4104397,188.82640075683594,10.0,36,12.716416358947754
38,2.3999941,184.9734344482422,10.0,37,12.715919494628906
39,2.361917,184.828125,10.0,38,12.715426445007324
40,2.3293285,186.17491149902344,10.0,39,12.714924812316895
41,2.364039,187.86546325683594,10.0,40,12.714441299438477
42,2.3464963,203.7342987060547,10.0,41,12.713921546936035
43,2.371557,190.79751586914062,10.0,42,12.7134428024292
44,2.3760152,186.37879943847656,10.0,43,12.712958335876465
45,2.4601219,188.85609436035156,10.0,44,12.712453842163086
46,2.36265,193.24232482910156,10.0,45,12.711946487426758
47,2.2962968,191.09657287597656,10.0,46,12.711467742919922
48,2.4761817,197.18417358398438,10.0,47,12.710959434509277
49,2.3172653,190.21572875976562,10.0,48,12.71048355102539
50,2.3511617,187.61944580078125,10.0,49,12.709946632385254
51,2.3424077,189.42755126953125,10.0,50,12.709493637084961
52,2.3503082,187.0681915283203,10.0,51,12.70899772644043
53,2.374195,188.53636169433594,10.0,52,12.708498001098633
54,2.4782543,191.71871948242188,10.0,53,12.708014488220215
55,2.3793674,194.1890106201172,10.0,54,12.707535743713379
56,2.3029845,184.04769897460938,10.0,55,12.70701789855957
57,2.3339453,193.5044708251953,10.0,56,12.706520080566406
58,2.365827,193.23410034179688,10.0,57,12.706016540527344
59,2.3745818,188.54705810546875,10.0,58,12.705533981323242
60,2.4139247,205.45687866210938,10.0,59,12.705009460449219
61,2.4191918,188.13868713378906,10.0,60,12.704547882080078
62,2.3343568,189.7239990234375,10.0,61,12.704045295715332
63,2.3233323,188.0075225830078,10.0,62,12.703521728515625
64,2.3709204,197.7063751220703,10.0,63,12.703043937683105
65,2.3736274,187.01739501953125,10.0,64,12.702516555786133
66,2.3218641,186.2526092529297,10.0,65,12.702008247375488
67,2.4478471,187.40231323242188,10.0,66,12.701499938964844
68,2.3617148,185.13816833496094,10.0,67,12.701007843017578
69,2.4184859,193.38925170898438,10.0,68,12.700509071350098
70,2.3527923,186.44505310058594,10.0,69,12.699958801269531
71,2.4043257,190.50381469726562,10.0,70,12.699440956115723
72,2.3807826,187.67652893066406,10.0,71,12.698945999145508
73,2.3561654,188.0570526123047,10.0,72,12.698429107666016
74,2.4486663,194.18307495117188,10.0,73,12.697920799255371
75,2.364324,194.2328643798828,10.0,74,12.697440147399902
76,2.3364146,185.7781219482422,10.0,75,12.696946144104004
77,2.3993554,193.54588317871094,10.0,76,12.696492195129395
78,2.3119044,187.58096313476562,10.0,77,12.6959867477417
79,2.361207,189.5603790283203,10.0,78,12.69550609588623
80,2.3915102,190.5590057373047,10.0,79,12.69500732421875
81,2.4239924,187.68499755859375,10.0,80,12.694515228271484
82,2.3096013,188.1599884033203,10.0,81,12.694036483764648
83,2.3264132,191.23426818847656,10.0,82,12.693507194519043
84,2.4799123,194.41583251953125,10.0,83,12.693010330200195
85,2.3331876,186.40293884277344,10.0,84,12.692517280578613
86,2.4237714,189.45663452148438,10.0,85,12.692005157470703
87,2.334507,185.4210205078125,10.0,86,12.691490173339844
88,2.373829,190.996826171875,10.0,87,12.691000938415527
89,2.4774716,188.46656799316406,10.0,88,12.690485954284668
90,2.3641884,197.21942138671875,10.0,89,12.689970016479492
91,2.439776,194.75540161132812,10.0,90,12.689468383789062
92,2.3579254,188.85879516601562,10.0,91,12.688976287841797
93,2.3202689,185.09036254882812,10.0,92,12.688458442687988
94,2.3516638,188.59890747070312,10.0,93,12.687973976135254
95,2.3629253,187.86561584472656,10.0,94,12.687460899353027
96,2.283171,196.0296630859375,10.0,95,12.686993598937988
97,2.3617923,188.1885223388672,10.0,96,12.68648910522461
98,2.3096888,189.6305389404297,10.0,97,12.68603801727295
99,2.346511,198.54747009277344,10.0,98,12.685539245605469
100,2.4091172,189.96133422851562,10.0,99,12.685072898864746
