,train_loss,test_loss,test_acc,epoch,lr
0,2704.981689453125,546.3425903320312,0.11999999731779099,0,0.0001
1,6.814233,540.4268188476562,3.9499998092651367,0,0.0001
2,6.6111326,523.7815551757812,9.920000076293945,1,0.0001
3,2.679194,226.0686798095703,10.300000190734863,2,0.0001
4,2.6059742,215.72877502441406,10.50999927520752,3,0.0001
5,2.4530616,212.7174835205078,9.59999942779541,4,0.0001
6,2.4021814,208.7218017578125,10.15999984741211,5,0.0001
7,2.4005759,205.5009765625,10.559999465942383,6,0.0001
8,2.5554001,204.0448455810547,10.239999771118164,7,0.0001
9,2.4843152,202.32125854492188,10.199999809265137,8,0.0001
10,2.4991057,201.17337036132812,10.420000076293945,9,0.0001
11,2.3984504,200.26588439941406,10.289999961853027,10,0.0001
12,2.411882,199.34469604492188,10.219999313354492,11,0.0001
13,2.3983371,198.4281768798828,9.989999771118164,12,0.0001
14,2.419383,197.79148864746094,9.619999885559082,13,0.0001
15,2.3754883,196.53819274902344,10.239999771118164,14,0.0001
16,2.3850238,196.43043518066406,9.6899995803833,15,0.0001
17,2.4149506,195.45767211914062,10.15999984741211,16,0.0001
18,2.367613,195.0218963623047,10.079999923706055,17,0.0001
19,2.5099177,195.09767150878906,10.059999465942383,18,0.0001
20,2.432189,194.6061248779297,10.15999984741211,19,0.0001
21,2.3557847,193.84866333007812,9.9399995803833,20,0.0001
22,2.4498093,193.3246612548828,10.069999694824219,21,0.0001
23,2.403092,192.98521423339844,10.84999942779541,22,0.0001
24,2.3991106,192.39138793945312,10.109999656677246,23,0.0001
25,2.3639255,192.2027587890625,10.399999618530273,24,0.0001
26,2.4015615,192.05892944335938,10.609999656677246,25,0.0001
27,2.4082682,191.6000213623047,10.729999542236328,26,0.0001
28,2.4152474,191.39590454101562,9.920000076293945,27,0.0001
29,2.474483,191.40380859375,10.219999313354492,28,0.0001
30,2.369171,191.01341247558594,10.15999984741211,29,0.0001
31,2.3758926,190.5553436279297,10.84999942779541,30,0.0001
32,2.3390367,190.1525421142578,10.979999542236328,31,0.0001
33,2.3493462,189.82240295410156,11.25999927520752,32,0.0001
34,2.3379998,190.0101776123047,10.519999504089355,33,0.0001
35,2.3943253,189.64907836914062,10.880000114440918,34,0.0001
36,2.3746285,189.4253692626953,10.929999351501465,35,0.0001
37,2.3366282,189.19265747070312,10.59999942779541,36,0.0001
38,2.3798163,189.01646423339844,10.960000038146973,37,0.0001
39,2.346169,188.60641479492188,10.639999389648438,38,0.0001
40,2.2959266,188.2837371826172,11.119999885559082,39,0.0001
41,2.3338685,188.08421325683594,11.059999465942383,40,0.0001
42,2.3190184,187.26170349121094,12.029999732971191,41,0.0001
43,2.359904,187.47189331054688,10.9399995803833,42,0.0001
44,2.3787189,187.1910858154297,11.25,43,0.0001
45,2.3233907,186.83340454101562,11.75999927520752,44,0.0001
46,2.3379524,186.1939239501953,12.149999618530273,45,0.0001
47,2.2715573,185.9153594970703,12.329999923706055,46,0.0001
48,2.3304286,185.8032684326172,12.299999237060547,47,0.0001
49,2.2906046,185.24752807617188,13.239999771118164,48,0.0001
50,2.2564082,184.5922393798828,13.769999504089355,49,0.0001
51,2.2813163,184.2335662841797,13.59999942779541,50,0.0001
52,2.3177207,183.6195831298828,13.4399995803833,51,0.0001
53,2.2935011,182.95069885253906,14.359999656677246,52,0.0001
54,2.2933688,182.5039825439453,14.149999618530273,53,0.0001
55,2.2015011,181.60244750976562,14.589999198913574,54,0.0001
56,2.227131,181.31944274902344,14.59999942779541,55,0.0001
57,2.2213564,179.75343322753906,15.289999961853027,56,0.0001
58,2.3096533,179.54669189453125,15.449999809265137,57,0.0001
59,2.2602847,178.85848999023438,15.629999160766602,58,0.0001
60,2.2138314,177.36868286132812,17.439998626708984,59,0.0001
61,2.0826461,176.1850128173828,17.420000076293945,60,0.0001
62,2.2297912,175.5353546142578,17.170000076293945,61,0.0001
63,2.1461904,174.29522705078125,18.270000457763672,62,0.0001
64,2.206345,173.2456512451172,18.799999237060547,63,0.0001
65,2.1510088,172.20452880859375,18.689998626708984,64,0.0001
66,2.2394938,171.16455078125,19.19999885559082,65,0.0001
67,2.1764996,170.73814392089844,19.25,66,0.0001
68,2.2256324,170.0891876220703,19.56999969482422,67,0.0001
69,2.116884,169.81011962890625,19.729999542236328,68,0.0001
70,2.125498,169.51187133789062,18.90999984741211,69,0.0001
71,2.1549304,169.02464294433594,19.34000015258789,70,0.0001
72,2.1586468,168.4077911376953,19.869998931884766,71,0.0001
73,2.065591,168.89593505859375,20.139999389648438,72,0.0001
74,2.097991,168.56333923339844,19.28999900817871,73,0.0001
75,2.0470023,168.14645385742188,20.19999885559082,74,0.0001
76,2.0817227,167.61614990234375,19.889999389648438,75,0.0001
77,2.1979785,167.6011962890625,19.510000228881836,76,0.0001
78,2.0512748,167.56451416015625,19.65999984741211,77,0.0001
79,2.2147653,167.52601623535156,19.969999313354492,78,0.0001
80,2.1778998,166.6796112060547,20.459999084472656,79,0.0001
81,2.0712614,167.01629638671875,20.239999771118164,80,0.0001
82,2.0869584,165.65823364257812,21.049999237060547,81,0.0001
83,2.0906146,165.80953979492188,20.799999237060547,82,0.0001
84,2.1006484,165.9408416748047,20.65999984741211,83,0.0001
85,1.8587341,165.51589965820312,20.489999771118164,84,0.0001
86,2.0795543,164.94287109375,20.510000228881836,85,0.0001
87,2.0387878,164.2278594970703,21.35999870300293,86,0.0001
88,2.1213913,164.04904174804688,21.229999542236328,87,0.0001
89,1.9835161,163.50477600097656,20.85999870300293,88,0.0001
90,2.0916603,163.07510375976562,21.279998779296875,89,0.0001
91,2.044063,163.72792053222656,21.31999969482422,90,0.0001
92,1.9392055,163.49179077148438,20.689998626708984,91,0.0001
93,1.9002028,163.06915283203125,21.369998931884766,92,0.0001
94,2.0244164,162.2956085205078,21.06999969482422,93,0.0001
95,1.9549,161.27085876464844,22.44999885559082,94,0.0001
96,2.065613,162.25274658203125,20.969999313354492,95,0.0001
97,1.9834969,160.81460571289062,21.35999870300293,96,0.0001
98,2.0785208,160.5314178466797,22.40999984741211,97,0.0001
99,2.0257044,160.87351989746094,21.68000030517578,98,0.0001
100,2.0378604,159.86936950683594,22.600000381469727,99,0.0001
